"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","184.25.3.185","10.12.14.191","TCP","1514","443  >  53582 [ACK] Seq=1 Ack=1 Win=512 Len=1460 [TCP segment of a reassembled PDU]"
"2","0.000001","184.25.3.185","10.12.14.191","TCP","1514","443  >  53582 [ACK] Seq=1461 Ack=1 Win=512 Len=1460 [TCP segment of a reassembled PDU]"
"3","0.000003","184.25.3.185","10.12.14.191","TLSv1.2","1265","Application Data"
"4","0.000124","10.12.14.191","184.25.3.185","TCP","54","53582  >  443 [ACK] Seq=1 Ack=4132 Win=513 Len=0"
"5","0.027278","10.12.14.191","184.25.3.185","TLSv1.2","232","Application Data"
"6","0.060303","184.25.3.185","10.12.14.191","TLSv1.2","1190","Application Data"
"7","0.061247","10.12.14.191","10.12.255.255","NBNS","92","Name query NB WPAD<00>"
"8","0.061394","10.12.14.191","10.12.255.255","NBNS","92","Name query NB WPAD<00>"
"9","0.061466","10.12.14.191","10.12.255.255","NBNS","92","Name query NB WPAD<00>"
"10","0.077204","10.12.14.191","10.12.255.255","NBNS","92","Name query NB WPAD<00>"
"11","0.077369","10.12.14.191","10.12.255.255","NBNS","92","Name query NB WPAD<00>"
"12","0.080440","10.12.14.191","184.25.3.185","TLSv1.2","242","Application Data"
"13","0.120875","184.25.3.185","10.12.14.191","TCP","1514","443  >  53582 [ACK] Seq=5268 Ack=367 Win=512 Len=1460 [TCP segment of a reassembled PDU]"
"14","0.120875","184.25.3.185","10.12.14.191","TCP","1514","443  >  53582 [ACK] Seq=6728 Ack=367 Win=512 Len=1460 [TCP segment of a reassembled PDU]"
"15","0.120877","184.25.3.185","10.12.14.191","TCP","1514","443  >  53582 [ACK] Seq=8188 Ack=367 Win=512 Len=1460 [TCP segment of a reassembled PDU]"
"16","0.120967","10.12.14.191","184.25.3.185","TCP","54","53582  >  443 [ACK] Seq=367 Ack=9648 Win=513 Len=0"
"17","0.122269","184.25.3.185","10.12.14.191","TCP","1514","443  >  53582 [ACK] Seq=9648 Ack=367 Win=512 Len=1460 [TCP segment of a reassembled PDU]"
"18","0.122310","10.12.14.191","184.25.3.185","TCP","54","53582  >  443 [ACK] Seq=367 Ack=11108 Win=513 Len=0"
"19","0.123555","184.25.3.185","10.12.14.191","TCP","1514","443  >  53582 [ACK] Seq=11108 Ack=367 Win=512 Len=1460 [TCP segment of a reassembled PDU]"
"20","0.127867","184.25.3.185","10.12.14.191","TCP","1514","443  >  53582 [ACK] Seq=12568 Ack=367 Win=512 Len=1460 [TCP segment of a reassembled PDU]"
"21","0.127933","10.12.14.191","184.25.3.185","TCP","54","53582  >  443 [ACK] Seq=367 Ack=14028 Win=513 Len=0"
"22","0.129179","184.25.3.185","10.12.14.191","TCP","1514","443  >  53582 [ACK] Seq=14028 Ack=367 Win=512 Len=1460 [TCP segment of a reassembled PDU]"
"23","0.131087","184.25.3.185","10.12.14.191","TCP","1514","443  >  53582 [ACK] Seq=15488 Ack=367 Win=512 Len=1460 [TCP segment of a reassembled PDU]"
"24","0.131151","10.12.14.191","184.25.3.185","TCP","54","53582  >  443 [ACK] Seq=367 Ack=16948 Win=513 Len=0"
"25","0.133308","184.25.3.185","10.12.14.191","TCP","1514","443  >  53582 [ACK] Seq=16948 Ack=367 Win=512 Len=1460 [TCP segment of a reassembled PDU]"
"26","0.136165","184.25.3.185","10.12.14.191","TCP","1514","443  >  53582 [ACK] Seq=18408 Ack=367 Win=512 Len=1460 [TCP segment of a reassembled PDU]"
"27","0.136214","10.12.14.191","184.25.3.185","TCP","54","53582  >  443 [ACK] Seq=367 Ack=19868 Win=513 Len=0"
"28","0.138054","184.25.3.185","10.12.14.191","TCP","1514","443  >  53582 [ACK] Seq=19868 Ack=367 Win=512 Len=1460 [TCP segment of a reassembled PDU]"
"29","0.140579","184.25.3.185","10.12.14.191","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"30","0.140662","10.12.14.191","184.25.3.185","TCP","54","53582  >  443 [ACK] Seq=367 Ack=22788 Win=513 Len=0"
"31","0.142484","184.25.3.185","10.12.14.191","TCP","1514","443  >  53582 [ACK] Seq=22788 Ack=367 Win=512 Len=1460 [TCP segment of a reassembled PDU]"
"32","0.145269","184.25.3.185","10.12.14.191","TLSv1.2","393","Application Data"
"33","0.145331","10.12.14.191","184.25.3.185","TCP","54","53582  >  443 [ACK] Seq=367 Ack=24587 Win=513 Len=0"
"34","0.161580","10.12.14.191","184.25.3.185","TLSv1.2","246","Application Data"
"35","0.168932","10.12.14.191","10.12.255.255","NBNS","92","Name query NB WPAD<00>"
"36","0.169040","10.12.14.191","10.12.255.255","NBNS","92","Name query NB WPAD<00>"
"37","0.195330","184.25.3.185","10.12.14.191","TCP","1514","443  >  53582 [ACK] Seq=24587 Ack=559 Win=512 Len=1460 [TCP segment of a reassembled PDU]"
"38","0.195332","184.25.3.185","10.12.14.191","TLSv1.2","285","Application Data"
"39","0.195406","10.12.14.191","184.25.3.185","TCP","54","53582  >  443 [ACK] Seq=559 Ack=26278 Win=513 Len=0"
"40","0.212023","10.12.14.191","184.25.3.185","TLSv1.2","235","Application Data"
"41","0.245564","184.25.3.185","10.12.14.191","TCP","1514","443  >  53582 [ACK] Seq=26278 Ack=740 Win=512 Len=1460 [TCP segment of a reassembled PDU]"
"42","0.245565","184.25.3.185","10.12.14.191","TCP","1514","443  >  53582 [ACK] Seq=27738 Ack=740 Win=512 Len=1460 [TCP segment of a reassembled PDU]"
"43","0.245646","10.12.14.191","184.25.3.185","TCP","54","53582  >  443 [ACK] Seq=740 Ack=29198 Win=513 Len=0"
"44","0.246300","184.25.3.185","10.12.14.191","TCP","1514","443  >  53582 [ACK] Seq=29198 Ack=740 Win=512 Len=1460 [TCP segment of a reassembled PDU]"
"45","0.247087","184.25.3.185","10.12.14.191","TCP","1514","443  >  53582 [ACK] Seq=30658 Ack=740 Win=512 Len=1460 [TCP segment of a reassembled PDU]"
"46","0.247134","10.12.14.191","184.25.3.185","TCP","54","53582  >  443 [ACK] Seq=740 Ack=32118 Win=513 Len=0"
"47","0.248910","184.25.3.185","10.12.14.191","TCP","1514","443  >  53582 [ACK] Seq=32118 Ack=740 Win=512 Len=1460 [TCP segment of a reassembled PDU]"
"48","0.250803","184.25.3.185","10.12.14.191","TCP","1514","443  >  53582 [ACK] Seq=33578 Ack=740 Win=512 Len=1460 [TCP segment of a reassembled PDU]"
"49","0.250870","10.12.14.191","184.25.3.185","TCP","54","53582  >  443 [ACK] Seq=740 Ack=35038 Win=513 Len=0"
"50","0.253477","184.25.3.185","10.12.14.191","TCP","1514","443  >  53582 [ACK] Seq=35038 Ack=740 Win=512 Len=1460 [TCP segment of a reassembled PDU]"
"51","0.256117","184.25.3.185","10.12.14.191","TCP","1514","443  >  53582 [ACK] Seq=36498 Ack=740 Win=512 Len=1460 [TCP segment of a reassembled PDU]"
"52","0.256181","10.12.14.191","184.25.3.185","TCP","54","53582  >  443 [ACK] Seq=740 Ack=37958 Win=513 Len=0"
"53","0.258426","184.25.3.185","10.12.14.191","TCP","1514","443  >  53582 [ACK] Seq=37958 Ack=740 Win=512 Len=1460 [TCP segment of a reassembled PDU]"
"54","0.260281","184.25.3.185","10.12.14.191","TCP","1514","443  >  53582 [ACK] Seq=39418 Ack=740 Win=512 Len=1460 [TCP segment of a reassembled PDU]"
"55","0.260337","10.12.14.191","184.25.3.185","TCP","54","53582  >  443 [ACK] Seq=740 Ack=40878 Win=513 Len=0"
"56","0.265231","184.25.3.185","10.12.14.191","TCP","1514","443  >  53582 [ACK] Seq=40878 Ack=740 Win=512 Len=1460 [TCP segment of a reassembled PDU]"
"57","0.266378","184.25.3.185","10.12.14.191","TLSv1.2","1514","Application Data [TCP segment of a reassembled PDU]"
"58","0.266434","10.12.14.191","184.25.3.185","TCP","54","53582  >  443 [ACK] Seq=740 Ack=43798 Win=513 Len=0"
"59","0.267745","184.25.3.185","10.12.14.191","TCP","1514","443  >  53582 [ACK] Seq=43798 Ack=740 Win=512 Len=1460 [TCP segment of a reassembled PDU]"
